# role|scenario|intent_id
Babysitter or Helper|Babysitter Handling Sensory Overload While Helping|offer_help
Babysitter or Helper|Celebrating Small Win|celebrate
Babysitter or Helper|Handling Public Stare|show_up
Babysitter or Helper|Offering Respite|offer_help
Babysitter or Helper|Planning Vacation|show_up
Babysitter or Helper|Unexpected Sensory Trigger|show_up
Boss or Manager|Boss Responds to Unexpected Time-Off Request|show_up
Boss or Manager|Celebrating Small Win|celebrate
Boss or Manager|Handling Public Stare|show_up
Boss or Manager|Offering Respite|offer_help
Boss or Manager|Planning Vacation|show_up
Boss or Manager|Unexpected Sensory Trigger|show_up
Close Friend|Celebrating Small Win|celebrate
Close Friend|Child's Birthday Feels Emotionally Complex|celebrate
Close Friend|Community Leader Planning an Inclusive Event|show_up
Close Friend|Crisis Moment After Elopement Scare|show_up
Close Friend|Diagnosis Shock - Just Found Out|show_up
Close Friend|Financial Stress Around Therapy Costs|show_up
Close Friend|Friend Bringing Meal After a Rough Week|show_up
Close Friend|Friend Unsure Whether to Invite Family Out|show_up
Close Friend|Friend Wants to Celebrate a Quiet Milestone|celebrate
Close Friend|Handling Public Stare|show_up
Close Friend|Late-Night Message After a Hard Day|show_up
Close Friend|Offering Respite|offer_help
Close Friend|Planning Vacation|show_up
Close Friend|Strained Relationship After a Misunderstood Comment|show_up
Close Friend|Therapy Cancellation Throws Off Whole Day|show_up
Close Friend|Unasked-for Advice From a Stranger|ask_question
Close Friend|Unexpected Sensory Trigger|show_up
Close Friend|Unfamiliar Relative Attending Holiday Gathering|show_up
Coach or Youth Leader|Celebrating Small Win|celebrate
Coach or Youth Leader|Coach Noticing Child Excluded During Practice|show_up
Coach or Youth Leader|Handling Public Stare|show_up
Coach or Youth Leader|Offering Respite|offer_help
Coach or Youth Leader|Planning Vacation|show_up
Coach or Youth Leader|Unexpected Sensory Trigger|show_up
Coworker|Celebrating Small Win|celebrate
Coworker|Handling Public Stare|show_up
Coworker|Offering Respite|offer_help
Coworker|Planning Vacation|show_up
Coworker|Unexpected Sensory Trigger|show_up
Faith Leader|Celebrating Small Win|celebrate
Faith Leader|Handling Public Stare|show_up
Faith Leader|Offering Help Without Pressure|offer_help
Faith Leader|Offering Respite|offer_help
Faith Leader|Planning Vacation|show_up
Faith Leader|Unexpected Sensory Trigger|show_up
Grandparent|Celebrating Small Win|celebrate
Grandparent|Handling Public Stare|show_up
Grandparent|Offering Respite|offer_help
Grandparent|Offers to Help But Feels Rejected|offer_help
Grandparent|Planning Vacation|show_up
Grandparent|Unexpected Sensory Trigger|show_up
Neighbor|Celebrating Small Win|celebrate
Neighbor|Handling Public Stare|show_up
Neighbor|Offering Respite|offer_help
Neighbor|Planning Vacation|show_up
Neighbor|Unexpected Sensory Trigger|show_up
Neighbor|Wants to Help But Doesn’t Know How|offer_help
Online Ally|Celebrating Small Win|celebrate
Online Ally|Handling Public Stare|show_up
Online Ally|Offering Respite|offer_help
Online Ally|Planning Vacation|show_up
Online Ally|Reacting to Vulnerable Social Post|show_up
Online Ally|Unexpected Sensory Trigger|show_up
Parent|Can't Attend School Event Due to Burnout|show_up
Parent|Celebrating Small Win|celebrate
Parent|Co-Parent Conflict Around Routine Consistency|show_up
Parent|Handling Public Stare|show_up
Parent|Offering Respite|offer_help
Parent|Overwhelmed Parent After Public Meltdown|show_up
Parent|Planning Vacation|show_up
Parent|Receiving Hard IEP Feedback|show_up
Parent|Unexpected Sensory Trigger|show_up
Sibling|Celebrating Small Win|celebrate
Sibling|Feeling Left Out During Therapy Focus|show_up
Sibling|Handling Public Stare|show_up
Sibling|Offering Respite|offer_help
Sibling|Older Sibling Worrying About Future|show_up
Sibling|Planning Vacation|show_up
Sibling|Unexpected Sensory Trigger|show_up
Sibling|Siblings Fighting About Autism-Related Routines|show_up
Teacher|Celebrating Small Win|celebrate
Teacher|Confused by Behavior During Class|show_up
Teacher|Handling Public Stare|show_up
Teacher|Offering Respite|offer_help
Teacher|Planning Vacation|show_up
Teacher|Unexpected Sensory Trigger|show_up
Therapist or Provider|Celebrating Small Win|celebrate
Therapist or Provider|Handling Public Stare|show_up
Therapist or Provider|Offering Respite|offer_help
Therapist or Provider|Planning Vacation|show_up
Therapist or Provider|Therapist Reporting No Progress to a Tired Parent|show_up
Therapist or Provider|Unexpected Sensory Trigger|show_up
Volunteer|Celebrating Small Win|celebrate
Volunteer|Handling Public Stare|show_up
Volunteer|Offering Respite|offer_help
Volunteer|Planning Vacation|show_up
Volunteer|Unexpected Sensory Trigger|show_up
Volunteer|Volunteer at Church Wants to Be Inclusive|show_up
